City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,San Luis,AR,2021-04-23 17:42:49,-33.295,-66.3356,60.8,94,90,8.05
266,Kaitangata,NZ,2021-04-23 17:45:44,-46.2817,169.8464,50.0,89,32,3.0
267,Poum,NC,2021-04-23 17:45:45,-20.2333,164.0167,78.03,81,41,6.71
268,Jiazi,CN,2021-04-23 17:45:45,22.8779,116.067,71.35,88,4,9.24
269,Puerto Colombia,CO,2021-04-23 17:40:57,10.9878,-74.9547,91.4,58,20,13.8
270,Celestun,MX,2021-04-23 17:45:46,20.8667,-90.4,89.64,48,97,4.65
271,Khatanga,RU,2021-04-23 17:45:46,71.9667,102.5,33.24,96,100,22.06
272,Chortomlyk,UA,2021-04-23 17:45:46,47.6232,34.142,51.75,82,100,12.66
273,Maralal,KE,2021-04-23 17:45:46,1.0968,36.698,61.2,84,93,6.04
274,Igarka,RU,2021-04-23 17:45:47,67.4667,86.5833,28.56,91,51,16.26
275,Solginskiy,RU,2021-04-23 17:45:47,61.05,41.3428,51.13,80,93,10.25
276,Provideniya,RU,2021-04-23 17:44:05,64.3833,-173.3,35.15,66,99,3.09
277,Portland,US,2021-04-23 17:43:35,45.5234,-122.6762,55.99,54,75,5.75
278,Laishevo,RU,2021-04-23 17:45:47,55.4046,49.5504,51.8,58,0,6.71
279,Teya,RU,2021-04-23 17:45:48,60.3778,92.6267,21.42,97,18,0.2
280,Mehamn,NO,2021-04-23 17:45:48,71.0357,27.8492,32.0,74,20,9.22
281,Pangnirtung,CA,2021-04-23 17:45:49,66.1451,-65.7125,26.6,80,75,2.3
282,Letka,RU,2021-04-23 17:45:49,59.6011,49.4232,43.43,84,54,4.9
283,Thinadhoo,MV,2021-04-23 17:45:49,0.5333,72.9333,83.03,67,57,7.85
284,Ndele,CF,2021-04-23 17:45:50,8.4109,20.6473,75.67,69,74,9.24
285,San Matias,BO,2021-04-23 17:44:47,-16.3667,-58.4,96.21,26,7,7.81
286,Staryy Nadym,RU,2021-04-23 17:45:50,65.6118,72.6842,34.66,99,100,12.28
287,Nishihara,JP,2021-04-23 17:45:50,26.1842,127.7558,69.8,83,75,18.41
288,Lensk,RU,2021-04-23 17:45:51,60.7253,114.9278,32.54,94,100,10.78
289,Bilma,NE,2021-04-23 17:45:51,18.6853,12.9164,97.52,7,80,7.43
290,North Bend,US,2021-04-23 17:45:51,43.4065,-124.2243,53.01,71,75,2.91
291,Saint-Pierre,RE,2021-04-23 17:45:52,-21.3393,55.4781,77.0,78,75,11.5
292,Dangara,IN,2021-04-23 17:45:52,29.6799,75.8931,73.0,51,0,6.29
